year,total_sentences,total_words,total_chars,total_syllables,avg_words_per_sentence,readability,speech_date,fy_start_date,minister,days_before_fy
2012,651,12723,74315,18228,19.543778801843317,65.79325432985222,2012-02-17,2012-04-01,Tharman Shanmugaratnam,44
2013,722,13718,80987,20001,19.0,64.20223793555914,2013-02-25,2013-04-01,Tharman Shanmugaratnam,35
2014,666,12238,73648,18075,18.375375375375377,63.23343017637676,2014-02-21,2014-04-01,Tharman Shanmugaratnam,39
2015,979,17675,104080,25680,18.054136874361593,65.59474697068426,2015-02-23,2015-04-01,Tharman Shanmugaratnam,37
2016,774,13784,82832,20377,17.808785529715763,63.69421037161014,2016-03-24,2016-04-01,Heng Swee Keat,8
2017,565,9720,58890,14574,17.20353982300885,62.525629301868264,2017-02-20,2017-04-01,Heng Swee Keat,40
2018,723,13631,82161,20285,18.853388658367912,61.80115076558977,2018-02-19,2018-04-01,Heng Swee Keat,41
2019,875,15704,95608,23496,17.94742857142857,62.04158975038206,2019-02-18,2019-04-01,Heng Swee Keat,42
2020,892,15941,96286,23653,17.871076233183857,63.16773517177835,2020-02-18,2020-04-01,Heng Swee Keat,43
2021,886,16425,100610,24952,18.53837471783296,59.49865925044068,2021-02-16,2021-04-01,Heng Swee Keat,44
2022,852,15655,92786,22834,18.374413145539908,64.78948039857372,2022-02-18,2022-04-01,Lawrence Wong,42
2023,726,14419,85816,21149,19.860881542699726,62.589555674550965,2023-02-14,2023-04-01,Lawrence Wong,46
2024,757,13066,77450,19137,17.260237780713343,65.4072255590508,2024-02-16,2024-04-01,Lawrence Wong,45
2025,779,13021,78038,19212,16.71501925545571,65.04510984477628,2025-02-18,2025-04-01,Lawrence Wong,42
