,days_before_fy,total_words,total_sentences,avg_words_per_sentence,readability,total_syllables
days_before_fy,1.0,0.19528843699772272,0.20392384539050964,-0.0576162468388367,0.2686320771518892,0.18029469118705668
total_words,0.19528843699772272,1.0,0.9529198227860057,0.1483145765751135,0.34594659220074536,0.9972695197588876
total_sentences,0.20392384539050964,0.9529198227860057,1.0,-0.14946631343039635,0.49366438615798247,0.9483601807920876
avg_words_per_sentence,-0.0576162468388367,0.1483145765751135,-0.14946631343039635,1.0,-0.46452506287723516,0.15246639844683443
readability,0.2686320771518892,0.34594659220074536,0.49366438615798247,-0.46452506287723516,1.0,0.2877125598200157
total_syllables,0.18029469118705668,0.9972695197588876,0.9483601807920876,0.15246639844683443,0.2877125598200157,1.0
